"","average","sd","ratio","ava","avb","cumsum","p"
"Proteobacteria",0.161880137739692,0.104267449947816,1.55254720260934,0.696464397244921,0.375803810827861,0.372449748044632,0.2088
"Firmicutes",0.116104876067066,0.085679208604011,1.35511144370714,0.0181020707763504,0.250311822910483,0.639580925727891,2e-04
"Actinobacteria",0.0719865492120273,0.0360963098603068,1.99429109209823,0.140504301445061,0.253570228062318,0.805205766989984,0.0166
"Bacteroidetes",0.0220944669442724,0.012208234182481,1.80980038669132,0.0206944102247908,0.0531057336169677,0.856040160643684,0.74
"Chloroflexi",0.0056391371717154,0.00479626900266728,1.1757341317969,0.015707073235349,0.00461935478029508,0.869014545568979,0.8752
"Acidobacteria",0.00524401458127823,0.00438405469994861,1.19615628457822,0.014171601364758,0.00441109116570171,0.881079842379389,0.257
"Planctomycetes",0.00509072321723083,0.00699956908534385,0.727290945365496,0.0133584326382514,0.00354874720543026,0.892792450276174,0.9714
"Cyanobacteria",0.00378205201800932,0.00393489801716885,0.961156299733149,0.0023660962276561,0.0086332364341824,0.901494100403656,0.0056
"Deinococcus.Thermus",0.00362083973484958,0.00418864178772755,0.864442441809754,0.00126814396101409,0.00846483280688929,0.909824837366107,0.007
"Verrucomicrobia",0.00332787920650268,0.00218051252328974,1.52619128345197,0.00893497362410635,0.00234711869826688,0.917481538115756,0.3736
"Euryarchaeota",0.0030286646998746,0.00177580139219548,1.70551994901308,0.00327629602056584,0.00899965546012163,0.924449813656724,0.9938
"Nitrospirae",0.00302488347850287,0.00214388447095434,1.41093585941054,0.00486586111561743,0.00538198071517733,0.931409389458694,0.9168
"Candidatus Omnitrophica",0.00245722920051407,0.0050207475548755,0.489415007159227,0.00515544699895609,0.000718901758516433,0.937062920579918,0.9762
"candidate.division.NC10",0.00241916161359988,0.00478540114297564,0.505529534791646,0.00494680685132712,0.000113029236837418,0.942628866754942,0.0716
"Candidatus.Rokubacteria",0.00186614843728107,0.00221948324546904,0.840803119866171,0.00428066059646472,0.000568562693069013,0.946922454127575,0.6042
"Candidatus.Levybacteria",0.00184210662568223,0.00356629760300987,0.516531941733504,0.0035712826489458,0.000407174344664283,0.951160726704967,0.836
"Thaumarchaeota",0.00147449686199281,0.00165513670649046,0.890861072810912,0.00333778762982841,0.000536645105062023,0.95455321198704,0.2922
"Ignavibacteriae",0.00143067222128111,0.00140202925675128,1.02042964823444,0.0034324985000059,0.00058936874069637,0.957844866638381,0.9722
"Candidatus.Daviesbacteria",0.00109333382918004,0.00204598542048629,0.534380068514943,0.00220737673561772,5.02058027470226e-05,0.960360381604532,0.9646
"Elusimicrobia",0.00103809511144322,0.0015787626265486,0.657537171191244,0.0026619994269866,0.000756066012748717,0.962748804718708,0.999
"Gemmatimonadetes",0.000911268992592191,0.000587182606314284,1.55193458183678,0.00257335299796953,0.000796849947346917,0.964845429489547,0.2792
"Spirochaetes",0.000720677523189861,0.00055203626499157,1.30548945584375,0.0017290591014295,0.00203711854017309,0.966503546202822,1
"Tenericutes",0.00071123921722776,0.000681186666027339,1.04411793815003,0.000276739210136165,0.00158870767428211,0.968139947499205,0.9828
"Candidatus.Uhrbacteria",0.000591657745201445,0.00125013907129211,0.473273541150845,0.00123222477574173,0.000154000773228155,0.969501218753393,0.9996
"Candidatus.Marinimicrobia",0.000566888528842409,0.000450597557376332,1.25808167301926,0.000460029290499896,0.00134226075462168,0.970805501617769,0.14
"Fusobacteria",0.000547715159182121,0.000365982852437565,1.49655962167123,0.000181568107848273,0.00119199542606268,0.972065670875628,0.003
