"","average","sd","ratio","ava","avb","cumsum","p"
"Bacteroidetes",0.11370255200383,0.0964472157643436,1.17890963572912,0.0206944102247908,0.245792277843078,0.306792953384973,8e-04
"Proteobacteria",0.112793271899291,0.0696643844161579,1.61909522124665,0.696464397244921,0.611684211519004,0.61113248137351,0.9342
"Actinobacteria",0.0616697100910699,0.053386912246388,1.15514659859809,0.140504301445061,0.0174008297148352,0.777530087757903,0.0294
"Firmicutes",0.0246551993270312,0.020686024159103,1.1918771406917,0.0181020707763504,0.0578806816819304,0.844054904347598,0.3944
"Chloroflexi",0.00564117223954245,0.00477079983903111,1.18243741717911,0.015707073235349,0.00455830081148009,0.859275951381479,0.9032
"Acidobacteria",0.00553241383558336,0.00442998943401314,1.24885486026352,0.014171601364758,0.00325167971831522,0.874203545793866,0.2644
"Planctomycetes",0.00474323627534462,0.00633481679818461,0.748756661235081,0.0133584326382514,0.00721473193757394,0.887001776263369,0.9846
"Verrucomicrobia",0.00451454403708252,0.00268265267401242,1.68286565041242,0.00893497362410635,0.00716415940757472,0.899182947872221,0.106
"Candidatus.Parcubacteria",0.00417038114762822,0.00722278316935937,0.577392543821597,6.51190479201709e-05,0.00831729593092252,0.910435496970492,0.036
"Candidatus Omnitrophica",0.00244952293042166,0.00495369531626932,0.494483970860448,0.00515544699895609,0.000986321093534908,0.917044815415543,0.982
"candidate.division.NC10",0.00239979222644735,0.00476077631417766,0.504075820428853,0.00494680685132712,0.000206534966064313,0.92351995015691,0.0882
"Candidatus.Levybacteria",0.00177592422718778,0.00363826748515606,0.488123601256218,0.0035712826489458,0.000178400623357928,0.928311760270623,0.8842
"Candidatus.Rokubacteria",0.00169301284435158,0.00216397306055557,0.782363179658494,0.00428066059646472,0.00118982942119166,0.932879858360627,0.7308
"Thaumarchaeota",0.00163431534053376,0.00135697833118205,1.20437836255655,0.00333778762982841,0.00237679876205212,0.937289578470232,0.2224
"Nitrospirae",0.00157794222225652,0.00157846286869775,0.99967015604133,0.00486586111561743,0.00205351877485719,0.941547192271377,0.9986
"Ignavibacteriae",0.00123284644810875,0.000957229540660827,1.28793188649156,0.0034324985000059,0.00344490336389038,0.944873666446493,0.9918
"Candidatus.Daviesbacteria",0.00112057728986789,0.00197135133968605,0.568431038805263,0.00220737673561772,0.000276805758772618,0.947897215260446,0.9704
"Elusimicrobia",0.00106580101053277,0.00150252964088525,0.709337760488258,0.0026619994269866,0.00103391645170273,0.950772966366992,1
"Gemmatimonadetes",0.000976295209651577,0.000595003034236189,1.64082391765423,0.00257335299796953,0.000666679927661693,0.953407212348863,0.255
"Euryarchaeota",0.00077171367027827,0.000740790476264854,1.04174350913545,0.00327629602056584,0.00235470475236273,0.955489455112106,0.9998
"Cyanobacteria",0.000765475462758591,0.000598274432549993,1.27947213036657,0.0023660962276561,0.00242169734891305,0.957554865903902,0.8516
"Spirochaetes",0.000748340741670283,0.000474822980182175,1.57604154159339,0.0017290591014295,0.00237313921914672,0.959574043681614,0.9998
"Synergistetes",0.000693687173101778,0.000475470862195318,1.45894780996447,0.00027869204747118,0.00159982952194905,0.961445754850894,0.2038
"Candidatus.Dadabacteria",0.000617967512962662,0.00104943932896026,0.588854920822262,4.77809016639489e-05,0.0012563898390722,0.963113158748665,0.0402
"Candidatus.Uhrbacteria",0.000610574664328624,0.00119664662918054,0.510238068147775,0.00123222477574173,0.000361173049348855,0.964760615214947,0.9996
"Candidatus.Kaiserbacteria",0.00057616059115664,0.000948612562168912,0.607371875657332,0.00109802087343947,0.000322471388736827,0.966315215408785,1
"Candidatus.Aminicenantes",0.000572545741317882,0.000506038735814987,1.13142670866052,0.0014095443378526,0.00026708972917374,0.967860061991656,0.0456
"candidate.division.Zixibacteria",0.00049585551727143,0.000659647564846364,0.751697639309739,0.000176782143279552,0.00109844373832585,0.969197982521275,0.0138
"Candidatus.Nomurabacteria",0.00048624198507975,0.00107043528741523,0.454246969243582,0.0010250462726123,0.000238275697462195,0.970509963756818,1
"Candidatus.Yanofskybacteria",0.000472586815777877,0.00102364696323445,0.461669728677385,0.000915043820710921,0.000154833152010321,0.971785100527173,0.9992
"Deinococcus.Thermus",0.000439931853999106,0.000323927020166632,1.35812027589671,0.00126814396101409,0.000412683541436297,0.972972127470701,0.5456
"Candidatus.Gottesmanbacteria",0.000399678915865148,0.000708093073941836,0.564444040725045,0.000858780173032788,0.000176222204372963,0.974050543678984,0.9998
"Nitrospinae",0.000374969118544904,0.000463168014030964,0.809574727066184,0.00031329630003127,0.000820233763150915,0.975062287754021,0.9556
"Candidatus.Roizmanbacteria",0.000374611774475969,0.000660483071780626,0.567178464492718,0.000796314937603023,0.000274745586141465,0.976073067641006,1
"Armatimonadetes",0.000365632371182457,0.000421256686931005,0.867956242656254,0.00110914227232063,0.00045396699784288,0.977059619244566,0.9802
"Lentisphaerae",0.00032023951923517,0.000467158058547681,0.685505715625976,0.000863829440872097,0.000615318853995162,0.977923691564538,0.923
"Candidatus.Curtissbacteria",0.000278354460378574,0.000383769803814756,0.725316211988721,0.000475630869825205,0.000237624296593511,0.978674749350686,0.998
"Candidatus.Magasanikbacteria",0.000277665713663622,0.000498360718527788,0.557158105245288,0.000610249907469445,0.000251087188931465,0.979423948756041,1
"Candidatus Woesebacteria",0.000275141285116309,0.000383471338862072,0.717501563305289,0.00053968138660755,0.000285828082603184,0.980166336732136,1
"Candidatus.Zambryskibacteria",0.000270814483149512,0.000529289110437276,0.511657009013045,0.000529075973650692,0.000113616036745648,0.980897050103478,0.996
"Candidatus.Staskawiczbacteria",0.000253395225490164,0.00056483231743069,0.448620267768686,0.000510379537649836,6.26364955658598e-05,0.98158076272234,0.9984
"Candidatus.Woesearchaeota",0.00024193654291355,0.000297745068534233,0.812562720533298,0.000488852140924431,0.000231720789272012,0.98223355745055,0.9998
"Candidatus.Marinimicrobia",0.000235187666947164,0.000194731537487958,1.2077533510036,0.000460029290499896,0.00064253632646138,0.982868142318443,0.9698
"Candidatus.Saccharibacteria",0.000220212713060349,0.000317515054899843,0.69355046213419,0.000313402386267299,0.000289842560208489,0.983462321669936,0.9636
"Candidatus.Melainabacteria",0.000217807121956605,0.000592939905002887,0.367334227497379,0.000432584561134491,7.25336162588396e-05,0.98405001024012,0.9926
"Candidatus.Taylorbacteria",0.000216668747132404,0.000418151848842484,0.518158051272953,0.000396747851917297,0.000156129149121418,0.984634627240068,0.9892
"Candidatus.Falkowbacteria",0.000213533242521343,0.000196324426216285,1.087654993506,0.000352055137713634,0.00038242564238804,0.985210784001411,1
"Candidatus.Sungbacteria",0.000202279683491857,0.000398618510315636,0.507451807322461,0.0004012962942402,5.09048636554823e-05,0.985756576337771,0.895
"Candidatus.Peregrinibacteria",0.000183980148147286,0.000274828706906676,0.669435701306708,0.000446696848732865,0.000208610767514068,0.986252992750768,1
"Candidatus.Giovannonibacteria",0.000163283094397915,0.000265668355066164,0.614612509484805,0.000306603010943781,0.000124524764305846,0.9866935642409,1
"Tenericutes",0.000160045659808193,0.000114831464524231,1.393743957471,0.000276739210136165,0.000443849743612817,0.987125400464307,1
"Candidatus Moranbacteria",0.000157043346938356,0.000214737704124285,0.731326375956142,0.000401192271256396,0.000206700215945555,0.987549135827916,1
"Candidatus.Eisenbacteria",0.000153198775761066,8.27589196049801e-05,1.85114518764026,0.000379179564716699,7.46489562902101e-05,0.987962497744974,0.1874
