"","average","sd","ratio","ava","avb","cumsum","p"
"Proteobacteria",0.0921836179802392,0.0769355803266335,1.19819227448301,0.696464397244921,0.632079278931988,0.283413797254555,1
"Actinobacteria",0.0575581612790246,0.0518738810920432,1.10957884907234,0.140504301445061,0.0291811081073788,0.460373406873861,0.004
"Euryarchaeota",0.0376000507520694,0.0706275661680176,0.5323707553878,0.00327629602056584,0.0784646594778131,0.57597283108926,0.5654
"Firmicutes",0.0323890353762828,0.0302020094379868,1.07241325921663,0.0181020707763504,0.0809315925677958,0.675551256264243,0.199
"Bacteroidetes",0.0231926940338949,0.020391131130506,1.13739124551054,0.0206944102247908,0.0607447075649252,0.746856002473252,0.815
"Chloroflexi",0.00959065536749156,0.00787124270005275,1.21844233915278,0.015707073235349,0.0273267012629011,0.776341979650273,0.2776
"Candidatus.Atribacteria",0.00641312024129326,0.0167002587836137,0.38401322544689,6.4527991055053e-05,0.0128843409898086,0.79605878833774,0.0316
"Acidobacteria",0.00641298816454707,0.00435944143672778,1.47105730346975,0.014171601364758,0.00134562503566384,0.815775190962038,0.0998
"Planctomycetes",0.00552312149790861,0.00676258340579689,0.816717690043451,0.0133584326382514,0.00384956278516822,0.832755744239477,0.9934
"Spirochaetes",0.00459336968555288,0.00386503154265727,1.18844300100973,0.0017290591014295,0.0106054773235272,0.846877823338776,0.8808
"Candidatus.Saccharibacteria",0.00431976023859559,0.00702123653012857,0.615242090201523,0.000313402386267299,0.00874396631672889,0.860158704250958,2e-04
"Tenericutes",0.00411571352377824,0.00372147217422983,1.10593693331323,0.000276739210136165,0.00848182938703773,0.87281225402198,0.2692
"Verrucomicrobia",0.00335838670442179,0.00215716130336811,1.55685469564939,0.00893497362410635,0.00240985147925121,0.883137441396959,0.3934
"Candidatus Omnitrophica",0.0025544025257259,0.00485646540196368,0.52597976394376,0.00515544699895609,0.00131061335988162,0.890990820721773,0.9958
"candidate.division.NC10",0.00245386892493351,0.00475305463122857,0.516271979878178,0.00494680685132712,3.90690014600953e-05,0.898535114656184,0.029
"Nitrospirae",0.00205964003743047,0.00188644318013477,1.09181132997779,0.00486586111561743,0.00324637425053505,0.904867372130726,0.9994
"Candidatus.Rokubacteria",0.00204195432216006,0.00220213268681296,0.927262164713279,0.00428066059646472,0.000196751952144609,0.911145255782328,0.6328
"Candidatus.Levybacteria",0.00181762484038667,0.00357219875953672,0.508825225789619,0.0035712826489458,0.000329649320365556,0.916733449967857,0.9438
"Candidatus.Riflebacteria",0.00171069586558334,0.00186137804272729,0.919048052740985,3.42270649069831e-05,0.00344707988833187,0.921992896514169,0.0042
"Thaumarchaeota",0.00157430159849221,0.00167171307107411,0.941729550203661,0.00333778762982841,0.000268613767436216,0.926833005893996,0.1858
"Elusimicrobia",0.00135623698692253,0.00131810044320389,1.02893295720768,0.0026619994269866,0.00281771509596118,0.931002686829314,1
"Ignavibacteriae",0.00115795206274219,0.00120413001787903,0.961650357975309,0.0034324985000059,0.00185482496856836,0.934562750952755,0.9996
"Candidatus.Daviesbacteria",0.00110550197394327,0.00200423454207886,0.551583135972003,0.00220737673561772,0.000142007673811432,0.937961559972974,0.9912
"Gemmatimonadetes",0.00106411840108617,0.000571691236484487,1.86135160585944,0.00257335299796953,0.000457089072490842,0.941233137324657,0.1614
"Cyanobacteria",0.000950394978243459,0.000705272437880898,1.3475572377379,0.0023660962276561,0.00302232973144944,0.94415507785571,0.6876
"Synergistetes",0.000871051523174473,0.00140504425303127,0.619945970595052,0.00027869204747118,0.00191735601943504,0.946833081010676,0.0386
"Candidatus.Cloacimonetes",0.000706002934020585,0.000866951133404002,0.814351474746369,0.000132631227222729,0.00151277069678333,0.949003650758183,4e-04
"Candidatus.Nomurabacteria",0.000689754761395189,0.00122526818944117,0.562941866392351,0.0010250462726123,0.000748553361802416,0.951124266333754,1
"Candidatus.Uhrbacteria",0.000637893596983565,0.00123046569178768,0.518416402213381,0.00123222477574173,0.000329762510799998,0.953085437423874,1
"Candidatus.Falkowbacteria",0.000605578143275213,0.00112533528267237,0.538131304154198,0.000352055137713634,0.00123016322518184,0.954947256311876,1
"Candidatus.Kaiserbacteria",0.000547087737257762,0.000960685095174871,0.569476657861728,0.00109802087343947,0.000266117855888743,0.956629249451708,1
"Candidatus.Aminicenantes",0.000539731167260605,0.000489504642685429,1.10260684004881,0.0014095443378526,0.000419382087538272,0.958288625195051,0.0028
"Candidatus.Yanofskybacteria",0.000487304150200376,0.00101486186657044,0.480167958076048,0.000915043820710921,0.000204191829780888,0.959786816768046,1
"Candidatus.Roizmanbacteria",0.000486837894197476,0.000652388797403929,0.746238893332881,0.000796314937603023,0.000624251404744575,0.961283574860915,1
"Candidatus.Gottesmanbacteria",0.000483964764415891,0.000688864176515234,0.702554699337292,0.000858780173032788,0.000477316726220173,0.962771499663887,1
"Candidatus.Magasanikbacteria",0.000468445797941376,0.000704197808137933,0.66521905141974,0.000610249907469445,0.000755103235399803,0.96421171220177,1
"Candidatus.Nealsonbacteria",0.000434549388203151,0.000595120091202347,0.730187729547514,0.000273965844991847,0.000801178584498817,0.965547711969448,1
"Deinococcus.Thermus",0.000412861274453974,0.000315072574034259,1.31036881175536,0.00126814396101409,0.0004723628575322,0.966817032745699,0.6888
"Candidatus Woesebacteria",0.000411011290682377,0.000446613384781555,0.920284310071468,0.00053968138660755,0.000711574793745372,0.968080665841894,1
"Armatimonadetes",0.00040537780019999,0.000402755135705336,1.00651180894332,0.00110914227232063,0.000544880667280804,0.969326979061039,0.9888
"Fusobacteria",0.000387144163888634,0.000252840761190417,1.53117781352142,0.000181568107848273,0.000917193943234086,0.970517233902155,0.0018
"Lentisphaerae",0.000347546942383291,0.000474212584766748,0.732892701601835,0.000863829440872097,0.000737253661955704,0.971585749120186,0.9566
"Candidatus.Peregrinibacteria",0.000345520633486067,0.000377368595572691,0.915605160418049,0.000446696848732865,0.000681944549447234,0.972648034555621,1
"Candidatus Moranbacteria",0.000338014928871486,0.000526308314687483,0.64223748597283,0.000401192271256396,0.000679410773729417,0.973687244087847,1
"Candidatus.Marinimicrobia",0.000327277330220166,0.000249535259886024,1.31154743569967,0.000460029290499896,0.000903006825265334,0.974693441424699,0.8284
"Candidatus.Woesearchaeota",0.000314702964702103,0.000350454858846664,0.897984310269746,0.000488852140924431,0.000495319754317657,0.975660979520813,0.9998
"Candidatus.Staskawiczbacteria",0.000296714977559514,0.000559721172059013,0.530112120769,0.000510379537649836,0.000205728530929865,0.976573214474647,1
"Candidatus.Zambryskibacteria",0.000280348546117001,0.000529454931070664,0.529504079884722,0.000529075973650692,0.000132505466906145,0.977435131675888,0.999
"Candidatus.Desantisbacteria",0.000263072348924064,0.000484737689102953,0.542710737865053,3.2680838253244e-05,0.000537829513636373,0.978243934096479,0.9538
"Candidatus.Diapherotrites",0.00025025067925578,0.000608428515546788,0.411306624954753,4.12910042680433e-05,0.000494138998061174,0.979013316952428,0.5414
"Candidatus.Curtissbacteria",0.000249969742482467,0.000407008123326253,0.614164013336151,0.000475630869825205,0.000100141880369518,0.979781836082702,1
"Candidatus.Melainabacteria",0.000230776352061997,0.000583382398244915,0.395583330515764,0.000432584561134491,0.000100436766266419,0.98049134612025,0.9982
"Candidatus.Taylorbacteria",0.000225469015145856,0.000426938142448581,0.528106984896556,0.000396747851917297,0.000180958762327681,0.981184539023131,0.997
"Candidatus.Sungbacteria",0.000208425305266062,0.000393947033487813,0.529069360976696,0.0004012962942402,7.40817688122946e-05,0.98182533191566,0.951
"Candidatus.Portnoybacteria",0.000192814704928099,0.000327431621418007,0.58887014055966,0.00015242937460964,0.000344831838419153,0.982418130819495,0.9992
"Candidatus.Buchananbacteria",0.00018260129470765,0.000267083744348503,0.683685542723947,0.000257102603845595,0.000251294144134335,0.982979529118353,0.999
"Candidatus.Giovannonibacteria",0.000175025354523466,0.000287142279715157,0.609542261408142,0.000306603010943781,0.000127643780015582,0.983517635578353,1
"Candidatus.Eisenbacteria",0.000170221439424481,7.94253975943446e-05,2.14316131338575,0.000379179564716699,3.912562722771e-05,0.984040972648197,0.0758
"Nitrospinae",0.000164743334378016,0.000140658724298407,1.17122727509254,0.00031329630003127,0.000388064086487142,0.984547467565531,1
"Candidatus.Handelsmanbacteria",0.000161940937681745,0.000232677895395514,0.695987633060168,0.000371981737554056,6.32198511167e-05,0.985045346658204,0.5646
"Candidate Division WWE3",0.000161262256802437,0.000178188772476222,0.905007956233362,0.000211007803458867,0.000299784172731554,0.985541139181384,1
"Candidatus.Hydrogenedentes",0.00015718253662916,0.00024956509784959,0.629825796890446,0.000224072381358439,0.000245670747946429,0.986024388814499,0.7482
"Candidatus.Wolfebacteria",0.000148628240255054,0.000192520009887684,0.772014505618214,0.00022841541747324,0.000191350322250952,0.986481338702916,1
"Candidatus.Shapirobacteria",0.000140615595881921,0.000155505491814802,0.90424842390381,0.00018403628005929,0.000251163251732145,0.986913654127882,1
"Thermotogae",0.000136972058484173,8.4116166619201e-05,1.62836781547897,0.00014779512675956,0.000384977945837015,0.987334767684318,0.3042
