"","average","sd","ratio","ava","avb","cumsum","p"
"Proteobacteria",0.189567970294011,0.105700993849458,1.79343602543605,0.350556886200719,0.696464397244921,0.344507523266362,2e-04
"Actinobacteria",0.0594806693080323,0.05269932345897,1.12867994129644,0.0228152855516599,0.140504301445061,0.452603516665216,2e-04
"Candidate Division WWE3",0.0306981191010326,0.0530587496518384,0.578568460479524,0.0615693471281554,0.000211007803458867,0.508392123590901,0.2238
"Planctomycetes",0.027522807455744,0.0448165002783551,0.614122193495697,0.0579043556547201,0.0133584326382514,0.558410142010413,0.3044
"Bacteroidetes",0.0210697663659081,0.025260553858504,0.834097561119582,0.0562495120410272,0.0206944102247908,0.596700856498003,0.9914
"Firmicutes",0.0148110293048962,0.0239643696964568,0.618043766328896,0.0387228468639121,0.0181020707763504,0.623617381557281,0.9906
"Candidatus Woesebacteria",0.0141977618730177,0.0221845986220288,0.639982814875887,0.028807988051936,0.00053968138660755,0.649419397431655,0.2032
"Spirochaetes",0.0121348943391379,0.024803022822612,0.489250621826426,0.0257741585816331,0.0017290591014295,0.671472502644479,0.3104
"Elusimicrobia",0.0100004791627098,0.0160059770579949,0.62479654484539,0.0212107989519247,0.0026619994269866,0.68964667153218,0.364
"Candidatus Moranbacteria",0.00942807814271922,0.0167214218137838,0.563832325248052,0.0191999969660581,0.000401192271256396,0.706780598983491,0.3478
"Euryarchaeota",0.00922971408203906,0.0275686056064869,0.334790747627341,0.0198401993035214,0.00327629602056584,0.723554033514274,1
"Candidatus Omnitrophica",0.00915251513445913,0.0167206711003074,0.547377260132272,0.0179120167423718,0.00515544699895609,0.740187172096388,0.3064
"Candidatus.Uhrbacteria",0.0074891872401893,0.0198629368255557,0.37704329958668,0.0154417457847932,0.00123222477574173,0.753797495313934,0.3128
"Chloroflexi",0.00579232159008063,0.00503157307829834,1.15119496426743,0.0117817959523872,0.015707073235349,0.764324054003496,0.9996
"Ignavibacteriae",0.00567469460133621,0.0100644968431083,0.563832915822512,0.0118929968132692,0.0034324985000059,0.774636845660057,0.45
"Acidobacteria",0.00564543811927556,0.00429007613245907,1.31592958841959,0.00453064967406557,0.014171601364758,0.78489646863966,0.0902
"Candidatus.Collierbacteria",0.00499972470243549,0.00829332119727591,0.602861577829367,0.0100934430593297,0.000122370660688629,0.793982617378702,0.2478
"Candidatus.Yanofskybacteria",0.00496630984919773,0.00928907926872224,0.534639624178907,0.0101983807750058,0.000915043820710921,0.803008040308888,0.2518
"Candidatus.Nomurabacteria",0.00485482601193579,0.00646224677636525,0.751259767685077,0.0101784331723418,0.0010250462726123,0.811830860338385,0.1254
