"","average","sd","ratio","ava","avb","cumsum","p"
"Proteobacteria",0.142376699598145,0.106501102860471,1.33685657494717,0.632079278931988,0.416219291035874,0.296778317961211,0.5252
"Euryarchaeota",0.0802515824068068,0.0856908770523288,0.93652422716831,0.0784646594778131,0.148376487678342,0.464059408951804,0.0106
"Firmicutes",0.0362215082576921,0.0305882679894174,1.18416342730564,0.0809315925677958,0.00958846281377006,0.539561638776466,0.1012
"Bacteroidetes",0.0262364524823365,0.021797704295843,1.20363374629961,0.0607447075649252,0.0627050088690435,0.594250434477968,0.6962
"Candidatus.Nealsonbacteria",0.01935690507403,0.0311433560660812,0.621542040394033,0.000801178584498817,0.0392561178130643,0.634599099287729,0.0364
"Actinobacteria",0.0181677722291515,0.0217923746643386,0.833675655314495,0.0291811081073788,0.036363523173886,0.672469066062406,0.9638
"Chloroflexi",0.0116614122837501,0.00921553653906603,1.26540785057014,0.0273267012629011,0.0289758587849352,0.696776795714742,0.0372
"Candidatus.Roizmanbacteria",0.00997729406842458,0.0102594048192205,0.972502230317747,0.000624251404744575,0.0204276241848224,0.717574050882118,0.0058
"Nitrospirae",0.00952536333677459,0.00988430190927655,0.963685996664561,0.00324637425053505,0.0212974842522415,0.737429275206296,0.0246
"Candidatus.Wolfebacteria",0.00854239552027419,0.0162983939287972,0.524124987872632,0.000191350322250952,0.017225245194627,0.755235543935814,0.207
"Candidatus.Atribacteria",0.00694633038342048,0.0160006176754429,0.434128889541648,0.0128843409898086,0.00339183871140039,0.769714881165943,0.0028
"Armatimonadetes",0.00587932594337775,0.0070880225625992,0.829473367424183,0.000544880667280804,0.0122277253145611,0.781970091949352,0.0078
"Spirochaetes",0.00494193013891231,0.0039822913662089,1.24097653447617,0.0106054773235272,0.000782698541916335,0.792271340104759,0.897
"Candidatus.Shapirobacteria",0.00480427848920531,0.00749088444191795,0.641349966943989,0.000251163251732145,0.00979150058177198,0.802285659112489,0.0956
"Elusimicrobia",0.00438272631176329,0.00567984316984624,0.771628050406529,0.00281771509596118,0.0105301293579594,0.811421270111765,0.966
"Candidatus.Saccharibacteria",0.004326380285442,0.00683926263469512,0.632579930984746,0.00874396631672889,0.00104915125029012,0.820439430159006,2e-04
"Acidobacteria",0.0042765469111,0.00887102149613374,0.482080548780527,0.00134562503566384,0.00865548845039855,0.829353714606817,0.5506
"Candidatus Moranbacteria",0.00427141291470889,0.003244775663293,1.3163969894837,0.000679410773729417,0.00900465016487848,0.838257297452346,0.9242
"Tenericutes",0.00412163333795071,0.00372229130467847,1.10728392825417,0.00848182938703773,0.000255080152312767,0.846848670989887,0.2468
"Candidatus.Berkelbacteria",0.00410337497330408,0.00497568245539256,0.824685861706651,0.000196270580505048,0.00835036102908786,0.855401985724521,0.01
"Candidatus.Falkowbacteria",0.00407488415410158,0.00427450885982438,0.953298797062031,0.00123016322518184,0.00865476944551474,0.86389591252964,0.5666
"Candidatus Omnitrophica",0.0039056743224854,0.00523511281040753,0.74605351669229,0.00131061335988162,0.00873048679169902,0.872037128467381,0.9586
"Planctomycetes",0.00346604546108225,0.00489350054569128,0.708295713614276,0.00384956278516822,0.00578307636889897,0.879261956299607,1
"Ignavibacteriae",0.00310939342756452,0.00241765144762296,1.28612146743555,0.00185482496856836,0.00779430676478311,0.885743357778338,0.8908
"Candidatus.Portnoybacteria",0.00287677692882101,0.00432446802121633,0.665232559174264,0.000344831838419153,0.0059292591015957,0.891739879825097,0.0412
"Candidatus.Kaiserbacteria",0.00252571242953466,0.00289187370350425,0.873382688349808,0.000266117855888743,0.0052963488327568,0.897004622501439,0.285
"Verrucomicrobia",0.0022359179052811,0.003639241233411,0.614391232093569,0.00240985147925121,0.00485612474212881,0.901665300526014,0.928
"Candidatus.Pacebacteria",0.00206923173431577,0.00318059548666278,0.650579975665784,0.000155915667595308,0.00423754188598558,0.905978528149042,0.0962
"Candidatus.Woesearchaeota",0.00199065872477592,0.00233231571698472,0.853511688095768,0.000495319754317657,0.00427033736392325,0.910127973596515,0.0866
"Candidatus.Aenigmarchaeota",0.00196698390487517,0.00271319314714072,0.72497009914243,3.74706482982855e-05,0.00395997712520213,0.914228069865029,0.017
"Candidatus.Magasanikbacteria",0.0018457261333232,0.00254466069266343,0.72533290534359,0.000755103235399803,0.00390725921305353,0.918075409344106,0.9372
"Candidatus.Jorgensenbacteria",0.00181691332744526,0.00328968018388118,0.552306979975683,0.000142207532634225,0.00371423670715232,0.921862689725815,0.1376
"Candidate Division WWE3",0.0017860922211601,0.0018794290517421,0.950337667444544,0.000299784172731554,0.00379822028947658,0.925585724791353,0.9998
"Candidatus.Kuenenbacteria",0.00176459687065972,0.00241165215649312,0.731696263040557,0.000182249039232673,0.00364251283726454,0.929263953691392,0.0244
"Candidatus Woesebacteria",0.0017396939619925,0.00332348213871539,0.523455186271871,0.000711574793745372,0.00371444848115092,0.932890273512435,0.9992
"Candidatus.Riflebacteria",0.00170932888371564,0.0018583919856918,0.919789203180048,0.00344707988833187,4.00146431495265e-05,0.936453298588753,0.0016
"Candidatus.Beckwithbacteria",0.00167273367075238,0.00204238760524871,0.819008921937071,0.000165336236180971,0.00345606461345086,0.939940042463307,0.1558
"Candidatus.Desantisbacteria",0.00161328895840168,0.00138832393661112,1.16204072828975,0.000537829513636373,0.0034282228560016,0.943302876303473,8e-04
"Candidatus.Uhrbacteria",0.00152808018923005,0.0024202573803055,0.631370944951801,0.000329762510799998,0.00321471056410865,0.94648809600269,0.9934
"Candidatus.Peregrinibacteria",0.0014122404542495,0.00213857011974232,0.660366682023811,0.000681944549447234,0.00312403052499521,0.949431852584715,0.9896
"Candidatus.Collierbacteria",0.00131526445675077,0.00135013074406065,0.974175621536466,8.48564244860402e-05,0.00269595585822188,0.952173466726989,0.9928
