"","X","OTU","average","sd","ratio","ava","avb","cumsum","p","contribution","comparison"
"1",1,"Proteobacteria",0.189567970294011,0.105700993849458,1.79343602543605,0.350556886200719,0.696464397244921,0.344507523266362,2e-04,0.344507523266362,"P. Contaminated_Karst P."
"2",2,"Actinobacteria",0.0594806693080323,0.05269932345897,1.12867994129644,0.0228152855516599,0.140504301445061,0.452603516665216,2e-04,0.108095993398854,"P. Contaminated_Karst P."
"34",34,"candidate.division.NC10",0.0024513273090117,0.0046210760630571,0.530466773444541,0.000640066579087014,0.00494680685132712,0.908244553525259,8e-04,0.00445487019053403,"P. Contaminated_Karst P."
"42",42,"Thaumarchaeota",0.00171592296534237,0.00173357498293197,0.989817563264702,0.00184681165075849,0.00333778762982841,0.937443451168724,0.0182,0.00311839795504099,"P. Contaminated_Karst P."
"64",64,"Candidatus.Aminicenantes",0.000510567332855722,0.000484571480569469,1.05364709506986,0.000500658306165686,0.0014095443378526,0.974720479959156,2e-04,0.000927869233553036,"P. Contaminated_Karst P."
"67",67,"Candidatus.Sungbacteria",0.000449671587695626,0.000392696910232876,1.14508562705259,0.000858131176179603,0.0004012962942402,0.977356652237151,0.0098,0.000817201580625926,"P. Contaminated_Karst P."
"77",77,"Candidatus.Doudnabacteria",0.000380760288220054,0.000326175736785236,1.16734706257676,0.000835116085811122,0.000203066340454823,0.984693082780388,0.021,0.000691967021904993,"P. Contaminated_Karst P."
"99",99,"Candidatus.Eisenbacteria",0.000153799747344386,8.22568003623384e-05,1.86975115330165,8.22454604089897e-05,0.000379179564716699,0.99518866818916,0.0442,0.000279504865481006,"P. Contaminated_Karst P."
"127",127,"Candidatus.Bipolaricaulota",4.34228978614742e-05,3.7243984058533e-05,1.16590367435531,5.28744895939977e-05,0.000110270235382957,0.999384845032078,0.0052,7.89137266810069e-05,"P. Contaminated_Karst P."
"133",133,"Candidatus.Latescibacteria",2.70947768814489e-05,2.78795638813517e-05,0.971850815054259,3.55629522552637e-05,6.85550008482026e-05,0.999734631647578,0.0116,4.92401456970715e-05,"P. Contaminated_Karst P."
"136",136,"Candidatus.Fermentibacteria",1.54560807287715e-05,1.21712049381892e-05,1.26988912003901,2.45063737934227e-05,4.02543924124614e-05,0.999839656997278,0.049,2.80887962409437e-05,"P. Contaminated_Karst P."
"150",150,"Rhodothermaeota",2.91279500334426e-07,4.60182304334891e-07,0.632965452149268,2.19507712734751e-07,4.63177775226082e-07,1,0.0184,5.29350918987426e-07,"P. Contaminated_Karst P."
"152",152,"Actinobacteria",0.115377471255329,0.0258747364659845,4.45907812073785,0.0228152855516599,0.253570228062318,0.367607054538386,2e-04,0.182152998809937,"P. Contaminated_Mine"
"153",153,"Firmicutes",0.10870587430003,0.0851738270259342,1.27628261046589,0.0387228468639121,0.250311822910483,0.539227222466896,0.0016,0.17162016792851,"P. Contaminated_Mine"
"174",174,"Deinococcus.Thermus",0.00392884552367956,0.0041581525515988,0.944853627885522,0.00067648471277119,0.00846483280688929,0.869691285012446,0.001,0.00620269265925799,"P. Contaminated_Mine"
"175",175,"Cyanobacteria",0.00377902067955815,0.00375229081738195,1.00712361154215,0.00301778150747756,0.0086332364341824,0.875657440639336,0.0054,0.00596615562689007,"P. Contaminated_Mine"
"215",215,"Fusobacteria",0.000493575547345871,0.000277876960055716,1.77623775374146,0.000551820042151195,0.00119199542606268,0.978669895365421,0.0086,0.000779235886436025,"P. Contaminated_Mine"
"220",220,"Crenarchaeota",0.000432435977728806,0.000301900679031205,1.43237828784118,0.000251108614878841,0.0010136332536817,0.982132361233706,8e-04,0.000682711358461985,"P. Contaminated_Mine"
"256",256,"Aquificae",0.000107831037167067,6.5497434934683e-05,1.64633984940938,0.00014425876703294,0.000273753504076482,0.997147550520072,0.0392,0.000170239012618034,"P. Contaminated_Mine"
"259",259,"Dictyoglomi",9.89615158923521e-05,0.000118199579336859,0.837240846774254,3.56066808450677e-05,0.000189853339415363,0.997642701291685,0.0072,0.000156236193170955,"P. Contaminated_Mine"
"261",261,"Candidatus.Poribacteria",9.26322462153197e-05,8.63204335816405e-05,1.07312072439615,9.52006608487419e-05,0.000182771969133445,0.997943515951445,0.0172,0.000146243813901048,"P. Contaminated_Mine"
"284",284,"Candidatus.Fraserbacteria",2.0748035829445e-05,2.1733172314204e-05,0.954671298303046,1.21874874460647e-05,4.34343736152937e-05,0.999765053713763,0.014,3.27561083169892e-05,"P. Contaminated_Mine"
"286",286,"Candidatus.Lokiarchaeota",1.98992606985009e-05,2.29918738131278e-05,0.865491036539135,8.78238738431004e-06,4.14584504094614e-05,0.999828506749809,0.008,3.14160985760426e-05,"P. Contaminated_Mine"
"297",297,"Coprothermobacterota",5.1666053938467e-06,3.65255745955157e-06,1.41451721186092,5.30919770476431e-06,1.12625130566306e-05,0.999994085644776,0.0294,8.15681480903496e-06,"P. Contaminated_Mine"
"298",298,"Candidatus.Korarchaeota",2.12633066347106e-06,2.13645560569582e-06,0.995260869358685,1.66836214401297e-06,3.87623932271141e-06,0.99999744260435,0.0344,3.35695957398574e-06,"P. Contaminated_Mine"
"301",301,"Proteobacteria",0.175960157868774,0.106005408250379,1.65991679833132,0.350556886200719,0.632079278931988,0.316370662808155,0.0044,0.316370662808155,"P. Contaminated_S. Saline"
"315",315,"Candidatus.Atribacteria",0.00637518124740429,0.0166625378031191,0.38260565843763,0.000166873935108875,0.0128843409898086,0.770035632329032,0.0274,0.0114623693294681,"P. Contaminated_S. Saline"
"323",323,"Candidatus.Saccharibacteria",0.0042778601954175,0.00689745520088414,0.620208478464515,0.000771219287399477,0.00874396631672889,0.839670566052241,4e-04,0.00769145403037297,"P. Contaminated_S. Saline"
"342",342,"Candidatus.Riflebacteria",0.00180847924481724,0.00191776337259803,0.943014800813128,0.00075597618071248,0.00344707988833187,0.933325703354587,0.0012,0.00325158708816498,"P. Contaminated_S. Saline"
"352",352,"Synergistetes",0.000996699881975804,0.00137869216504839,0.72293141808115,0.000717000659397967,0.00191735601943504,0.957623442226845,0.0106,0.00179203409510909,"P. Contaminated_S. Saline"
"361",361,"Candidatus.Cloacimonetes",0.000706030891352822,0.000836985394073257,0.843540277228574,0.000351257501249812,0.00151277069678333,0.970329820729966,4e-04,0.001269420667529,"P. Contaminated_S. Saline"
"382",382,"Fusobacteria",0.000328318827778354,0.000213590359430635,1.53714254076611,0.000551820042151195,0.000917193943234086,0.986885218163604,0.0194,0.000590306614944969,"P. Contaminated_S. Saline"
"405",405,"candidate.division.WOR.3",0.000121672720074338,0.000152369452680767,0.798537488542783,0.000142353031399659,0.000258184572045013,0.996247041313924,0.0118,0.000218763608545003,"P. Contaminated_S. Saline"
"422",422,"Balneolaeota",5.5136816393733e-05,5.10988766657677e-05,1.07902208407392,8.32531079752437e-05,0.00015843393718434,0.999013184686093,0.0374,9.91342094650571e-05,"P. Contaminated_S. Saline"
"434",434,"Candidatus.Parvarchaeota",1.97588844976789e-05,3.67804910436949e-05,0.5372110033606,1.34236670526491e-05,3.44373296880316e-05,0.999777457471853,0.0054,3.55258341470099e-05,"P. Contaminated_S. Saline"
"452",452,"Bacteroidetes",0.107492849853224,0.0871864883304159,1.23290720743163,0.0562495120410272,0.245792277843078,0.481195352592415,4e-04,0.186171723831603,"P. Contaminated_Porous"
"472",472,"Candidatus.Parcubacteria",0.00419022738344118,0.00714997462891063,0.586047867428532,0.000153762237541147,0.00831729593092252,0.84533147731375,0.0084,0.00725724414495299,"P. Contaminated_Porous"
"510",510,"Candidatus.Dadabacteria",0.000665135104409614,0.000986787737255051,0.674040707335725,0.000243409108443052,0.0012563898390722,0.972014328275028,0.0098,0.00115197754211493,"P. Contaminated_Porous"
