"","OTU","average","sd","ratio","ava","avb","cumsum","p","contribution","comparison"
"1","Proteobacteria",0.189567970294011,0.105700993849458,1.79343602543605,0.350556886200719,0.696464397244921,0.344507523266362,2e-04,0.344507523266362,"P. Contaminated_Karst P."
"2","Actinobacteria",0.0594806693080323,0.05269932345897,1.12867994129644,0.0228152855516599,0.140504301445061,0.452603516665216,2e-04,0.108095993398854,"P. Contaminated_Karst P."
"3","Candidate Division WWE3",0.0306981191010326,0.0530587496518384,0.578568460479524,0.0615693471281554,0.000211007803458867,0.508392123590901,0.2238,0.055788606925685,"P. Contaminated_Karst P."
"4","Planctomycetes",0.027522807455744,0.0448165002783551,0.614122193495697,0.0579043556547201,0.0133584326382514,0.558410142010413,0.3044,0.0500180184195119,"P. Contaminated_Karst P."
"5","Bacteroidetes",0.0210697663659081,0.025260553858504,0.834097561119582,0.0562495120410272,0.0206944102247908,0.596700856498003,0.9914,0.03829071448759,"P. Contaminated_Karst P."
"6","Firmicutes",0.0148110293048962,0.0239643696964568,0.618043766328896,0.0387228468639121,0.0181020707763504,0.623617381557281,0.9906,0.026916525059278,"P. Contaminated_Karst P."
"7","Candidatus Woesebacteria",0.0141977618730177,0.0221845986220288,0.639982814875887,0.028807988051936,0.00053968138660755,0.649419397431655,0.2032,0.025802015874374,"P. Contaminated_Karst P."
"8","Spirochaetes",0.0121348943391379,0.024803022822612,0.489250621826426,0.0257741585816331,0.0017290591014295,0.671472502644479,0.3104,0.022053105212824,"P. Contaminated_Karst P."
"9","Elusimicrobia",0.0100004791627098,0.0160059770579949,0.62479654484539,0.0212107989519247,0.0026619994269866,0.68964667153218,0.364,0.018174168887701,"P. Contaminated_Karst P."
"10","Candidatus Moranbacteria",0.00942807814271922,0.0167214218137838,0.563832325248052,0.0191999969660581,0.000401192271256396,0.706780598983491,0.3478,0.017133927451311,"P. Contaminated_Karst P."
"11","Euryarchaeota",0.00922971408203906,0.0275686056064869,0.334790747627341,0.0198401993035214,0.00327629602056584,0.723554033514274,1,0.0167734345307831,"P. Contaminated_Karst P."
"12","Candidatus Omnitrophica",0.00915251513445913,0.0167206711003074,0.547377260132272,0.0179120167423718,0.00515544699895609,0.740187172096388,0.3064,0.0166331385821139,"P. Contaminated_Karst P."
"13","Candidatus.Uhrbacteria",0.0074891872401893,0.0198629368255557,0.37704329958668,0.0154417457847932,0.00123222477574173,0.753797495313934,0.3128,0.0136103232175461,"P. Contaminated_Karst P."
"14","Chloroflexi",0.00579232159008063,0.00503157307829834,1.15119496426743,0.0117817959523872,0.015707073235349,0.764324054003496,0.9996,0.010526558689562,"P. Contaminated_Karst P."
"15","Ignavibacteriae",0.00567469460133621,0.0100644968431083,0.563832915822512,0.0118929968132692,0.0034324985000059,0.774636845660057,0.45,0.010312791656561,"P. Contaminated_Karst P."
"16","Acidobacteria",0.00564543811927556,0.00429007613245907,1.31592958841959,0.00453064967406557,0.014171601364758,0.78489646863966,0.0902,0.010259622979603,"P. Contaminated_Karst P."
"17","Candidatus.Collierbacteria",0.00499972470243549,0.00829332119727591,0.602861577829367,0.0100934430593297,0.000122370660688629,0.793982617378702,0.2478,0.00908614873904201,"P. Contaminated_Karst P."
"18","Candidatus.Yanofskybacteria",0.00496630984919773,0.00928907926872224,0.534639624178907,0.0101983807750058,0.000915043820710921,0.803008040308888,0.2518,0.00902542293018593,"P. Contaminated_Karst P."
"19","Candidatus.Nomurabacteria",0.00485482601193579,0.00646224677636525,0.751259767685077,0.0101784331723418,0.0010250462726123,0.811830860338385,0.1254,0.00882282002949708,"P. Contaminated_Karst P."
"20","Candidatus.Peregrinibacteria",0.00462771510346823,0.00735571637243577,0.629131802962083,0.00963470260579555,0.000446696848732865,0.820240944943952,0.234,0.00841008460556703,"P. Contaminated_Karst P."
"21","Candidatus.Daviesbacteria",0.00459999965526216,0.00581210976887275,0.791450925427778,0.00932334092065387,0.00220737673561772,0.828600661439321,0.143,0.00835971649536893,"P. Contaminated_Karst P."
"22","Candidatus.Falkowbacteria",0.00424185568631373,0.00731174929244838,0.580142386814978,0.00876725643968151,0.000352055137713634,0.83630951222397,0.59,0.007708850784649,"P. Contaminated_Karst P."
"23","Candidatus.Levybacteria",0.00406385663702527,0.00432742772523544,0.939092896532239,0.00714218317325472,0.0035712826489458,0.843694880030355,0.0608,0.00738536780638499,"P. Contaminated_Karst P."
"24","Candidatus.Wolfebacteria",0.00406288979894811,0.00772258679032577,0.526104776710023,0.00829538606571133,0.00022841541747324,0.851078490773082,0.9312,0.00738361074272698,"P. Contaminated_Karst P."
"25","Nitrospirae",0.00368093595338083,0.00456918161038538,0.805600710861297,0.00907910813647194,0.00486586111561743,0.857767965406558,0.998,0.00668947463347602,"P. Contaminated_Karst P."
"26","Tenericutes",0.003535065984708,0.00589574690543501,0.599595953050358,0.00731296839131009,0.000276739210136165,0.864192346197712,0.4052,0.00642438079115404,"P. Contaminated_Karst P."
"27","Verrucomicrobia",0.00353266356716674,0.00237195093307501,1.48934934441792,0.00527684409525704,0.00893497362410635,0.870612361003854,0.1788,0.00642001480614196,"P. Contaminated_Karst P."
"28","Candidatus.Roizmanbacteria",0.00345237689037094,0.0032163543478337,1.07338200863851,0.0074344117188281,0.000796314937603023,0.876886468438982,0.9958,0.00627410743512802,"P. Contaminated_Karst P."
"29","Candidatus.Gottesmanbacteria",0.00327972527541511,0.0044521945920461,0.736653622749189,0.00699988236794677,0.000858780173032788,0.882846810947661,0.165,0.00596034250867905,"P. Contaminated_Karst P."
"30","Candidatus.Magasanikbacteria",0.00327553616214163,0.00360293467358834,0.909130045058343,0.00697459033652804,0.000610249907469445,0.888799540455914,0.1678,0.00595272950825299,"P. Contaminated_Karst P."
"31","Lentisphaerae",0.00288498732132791,0.00809312452707706,0.356473857738831,0.0060032430536192,0.000863829440872097,0.894042513913846,0.3594,0.00524297345793201,"P. Contaminated_Karst P."
"32","Candidatus.Rokubacteria",0.00272385516313199,0.00279924763318103,0.973066880844923,0.0047124773993328,0.00428066059646472,0.898992657097483,0.1332,0.00495014318363696,"P. Contaminated_Karst P."
"33","Candidatus.Margulisbacteria",0.00263960136086198,0.0110209797629742,0.23950696014613,0.00529040219482254,1.37847527900868e-05,0.903789683334725,0.364,0.00479702623724199,"P. Contaminated_Karst P."
"34","candidate.division.NC10",0.0024513273090117,0.0046210760630571,0.530466773444541,0.000640066579087014,0.00494680685132712,0.908244553525259,8e-04,0.00445487019053403,"P. Contaminated_Karst P."
"35","Candidatus.Curtissbacteria",0.00238056644489024,0.00351199054090868,0.67783965166213,0.00499435283903541,0.000475630869825205,0.912570827888107,0.173,0.00432627436284794,"P. Contaminated_Karst P."
"36","Candidatus.Zambryskibacteria",0.00227108086770726,0.00354036323518417,0.641482445964084,0.00464980821322475,0.000529075973650692,0.916698130847874,0.4584,0.00412730295976704,"P. Contaminated_Karst P."
"37","Candidatus.Kaiserbacteria",0.00215583622527618,0.00230569061741371,0.935006721627892,0.00456582771848826,0.00109802087343947,0.920615996283611,0.5724,0.00391786543573702,"P. Contaminated_Karst P."
"38","Candidatus.Staskawiczbacteria",0.00202191242179648,0.00330655241074567,0.611486578959294,0.00416767986099857,0.000510379537649836,0.924290477999137,0.2092,0.00367448171552598,"P. Contaminated_Karst P."
"39","Candidatus.Raymondbacteria",0.00193863106561085,0.00595105179372075,0.325762761409067,0.00387225941569978,5.70874200108389e-05,0.927813610023524,0.3756,0.00352313202438703,"P. Contaminated_Karst P."
"40","Candidatus.Giovannonibacteria",0.00182766014628586,0.00221816331140385,0.823952022328397,0.00384062078753439,0.000306603010943781,0.931135071288277,0.09,0.00332146126475297,"P. Contaminated_Karst P."
"41","Candidatus.Melainabacteria",0.00175531260722637,0.00241858885225256,0.725758991897921,0.00351667336578271,0.000432584561134491,0.934325053213683,0.1594,0.00318998192540598,"P. Contaminated_Karst P."
"42","Thaumarchaeota",0.00171592296534237,0.00173357498293197,0.989817563264702,0.00184681165075849,0.00333778762982841,0.937443451168724,0.0182,0.00311839795504099,"P. Contaminated_Karst P."
"43","Candidatus.Shapirobacteria",0.00171150114105611,0.00264346041226854,0.647447237383575,0.00356015219251858,0.00018403628005929,0.940553813210678,0.9832,0.00311036204195403,"P. Contaminated_Karst P."
"44","Candidatus.Azambacteria",0.00169984652734076,0.00196160108994657,0.866560757970959,0.00350047891442941,0.000152098058050823,0.943642994975713,0.0768,0.00308918176503503,"P. Contaminated_Karst P."
"45","Nitrospinae",0.00162762622656177,0.00257747372068726,0.631481211039379,0.00346418158528905,0.00031329630003127,0.946600928635321,0.217,0.00295793365960795,"P. Contaminated_Karst P."
"46","Candidatus.Amesbacteria",0.00151850952699532,0.00233865363253483,0.649309288844727,0.00310818914785666,0.000214356606946655,0.949360561264136,0.1896,0.00275963262881507,"P. Contaminated_Karst P."
"47","Candidatus.Yonathbacteria",0.00110793029329754,0.00283695281231304,0.390535326667706,0.00224564338497112,9.002639469176e-05,0.951374036012553,0.4616,0.00201347474841695,"P. Contaminated_Karst P."
"48","Candidatus.Woesearchaeota",0.00105951440146388,0.00132073390793032,0.802216400368043,0.00230818517376085,0.000488852140924431,0.953299523117507,0.9652,0.00192548710495399,"P. Contaminated_Karst P."
"49","Candidatus.Beckwithbacteria",0.00105864496201687,0.00148146674372052,0.714592458119047,0.00218732238083343,8.86279388231469e-05,0.955223430164236,0.8642,0.00192390704672907,"P. Contaminated_Karst P."
"50","Cyanobacteria",0.00104715280227289,0.00105542198330365,0.992165047571895,0.00301778150747756,0.0023660962276561,0.957126452166492,0.7062,0.00190302200225589,"P. Contaminated_Karst P."
"51","Gemmatimonadetes",0.000882690018274525,0.0005756993854833,1.53324815091388,0.00109810733070357,0.00257335299796953,0.9587305910489,0.3398,0.00160413888240807,"P. Contaminated_Karst P."
"52","Candidatus.Berkelbacteria",0.000837315860497961,0.000891603796790237,0.939112040025276,0.00178193921464447,0.000128335529473079,0.960252270121817,0.9998,0.001521679072917,"P. Contaminated_Karst P."
"53","Candidatus.Terrybacteria",0.000819490108240534,0.000899462414497397,0.911088773729862,0.00169592292498791,8.08079462918761e-05,0.961741553923787,0.0506,0.00148928380197,"P. Contaminated_Karst P."
"54","Candidatus.Taylorbacteria",0.000797506815150734,0.000860793764549351,0.926478383086627,0.00165704810291822,0.000396747851917297,0.963190886831923,0.0794,0.00144933290813598,"P. Contaminated_Karst P."
"55","Candidatus.Pacebacteria",0.000789314243688609,0.00133862545355379,0.589645327296841,0.00164157663439153,9.13754712098487e-05,0.964625331135727,0.9712,0.00143444430380402,"P. Contaminated_Karst P."
"56","Candidatus.Nealsonbacteria",0.000765335816790303,0.000773688684097006,0.989203839375715,0.00168158732659166,0.000273965844991847,0.966016198729554,1,0.00139086759382701,"P. Contaminated_Karst P."
"57","Candidatus.Jorgensenbacteria",0.000719579598806944,0.00102579504165603,0.701484769945137,0.00153805450527439,0.000206200365207489,0.967323912184488,0.9622,0.00130771345493397,"P. Contaminated_Karst P."
"58","Candidatus.Edwardsbacteria",0.000716819003852805,0.00236198008218515,0.303482239016026,0.00144084158463734,1.92293294806567e-05,0.968626608727921,0.3922,0.00130269654343296,"P. Contaminated_Karst P."
"59","Candidatus.Firestonebacteria",0.000683468040981443,0.00171060813979055,0.399546819100913,0.00139237120512288,3.417348221497e-05,0.969868695572365,0.348,0.00124208684444405,"P. Contaminated_Karst P."
"60","Candidatus.Buchananbacteria",0.000559759134821229,0.000574568214947283,0.974225723350511,0.00124171038886328,0.000257102603845595,0.970885962533993,0.1066,0.00101726696162796,"P. Contaminated_Karst P."
"61","Candidatus.Wallbacteria",0.000542437991088368,0.00175330089277804,0.309381004323163,0.00110001363445028,4.06739863194204e-05,0.971871751264788,0.366,0.000985788730795023,"P. Contaminated_Karst P."
